    88/149     20.6G   0.03441     0.108         0    0.1424      1871       640    0.8168    0.8955    0.9214    0.5065   0.07349    0.6483         0
    89/149     20.6G   0.03442    0.1152         0    0.1496      1426       640    0.8002    0.9061    0.9196    0.5265   0.07258    0.6558         0
    90/149     20.6G   0.03592    0.1018         0    0.1378      1033       640    0.8386    0.8708    0.9223     0.534   0.07616    0.6557         0
    91/149     20.6G   0.03437    0.1113         0    0.1456      2001       640     0.822    0.8677    0.9146    0.5215   0.07437    0.6602         0
    92/149     20.6G    0.0338    0.1067         0    0.1405      1818       640    0.8192    0.8684    0.9072    0.4842   0.07575    0.6541         0
    93/149     20.6G   0.03347    0.1102         0    0.1437      1336       640    0.8361    0.8541    0.9118    0.5288   0.07238     0.654         0
    94/149     20.6G   0.03321    0.1094         0    0.1426       808       640    0.8337    0.8523    0.9088    0.5245   0.07282    0.6616         0
    95/149     20.6G   0.03312    0.1143         0    0.1474      1463       640    0.8356    0.8504    0.9025    0.5196   0.07136    0.6809         0
    96/149     20.6G   0.03303    0.1054         0    0.1384      1829       640    0.8076    0.8968    0.9144    0.5188   0.07284    0.6667         0
    97/149     20.6G   0.03323    0.1023         0    0.1356      1783       640    0.7942    0.8906    0.9105    0.5039   0.07356    0.6665         0
    98/149     20.6G   0.03275    0.1083         0     0.141      2000       640     0.824    0.8665    0.9082    0.5247   0.07248     0.664         0
    99/149     20.6G   0.03229   0.09601         0    0.1283      1320       640    0.8677    0.8325    0.9179    0.5239   0.07149    0.6643         0
   100/149     20.6G   0.03293    0.1087         0    0.1416      1694       640    0.8188     0.877    0.9107    0.5012    0.0742     0.656         0
   101/149     20.6G   0.03319     0.108         0    0.1412      1806       640    0.7884    0.9054    0.9118     0.521   0.07256    0.6629         0
   102/149     20.6G   0.03255    0.1078         0    0.1404      1749       640    0.8136    0.8776    0.9123    0.5123   0.07307    0.6628         0
   103/149     20.6G   0.03206    0.1081         0    0.1402      1396       640    0.8109    0.8801    0.9106    0.5277   0.07086    0.6651         0
